%SAFE,%PRETTY
.app-categories,!APP-CATEGORIES
.app-categories.accessories,Accessories
.app-categories.bikini_sets,Bikini Sets
.app-categories.bikini_sets.top_shelf,Top Shelf
.app-categories.bikini_sets.prints,Prints
.app-categories.bikini_sets.solids,Solids
.app-categories.bikini_sets.crochet,Crochet
.app-categories.bikini_sets.thongs_and_strings,Thongs & Strings
.app-categories.bikini_sets.gauze,Gauze
.app-categories.bikini_sets.metallic,Metallic
.app-categories.bikini_sets.sheer,Sheer
.app-categories.bikini_sets.skirted,Skirted
.app-categories.bikini_sets.sport,Sport
.app-categories.bikini_sets.underwire,Underwire
.app-categories.cover_ups,Cover Ups
.app-categories.dresses,Dresses
.app-categories.one_pieces,One Pieces
.app-categories.separates,Separates
.app-categories.separates.tops,Tops
.app-categories.separates.bottoms,Bottoms
.app-categories.sleepwear,Sleepwear
.app-categories.swim_dresses,Swim Dresses
.app-categories.tankinis,Tankinis
