C290SB,99
C290ST,99
C285SB,82
C285ST,82
C279SB,92
C279ST,92
C274SB,149
C274ST,149
C272SB,139
C272ST,139
C269SB,82
C269ST,82
C256SB,109
C256ST,109
C252SB,79
C252ST,79
C246SB,119
C246ST,119
C245SB,109
C245ST,109
C244SB,89
C244ST,89
C241SB,109
C241ST,109
C240SB,99
C240ST,99
C237SB,99
C237ST,99
C226SB,74
C226ST,74
C223SB,106
C223ST,106
C222SB,119
C222ST,119
A365SB,119
A365ST,119
A354SB,109
A354ST,109
A347SB,106
A347ST,106
A344SB,149
A344ST,149
A339SB,82
A339ST,82
A337SB,99
A337ST,99
A334SB,98
A334ST,98
A328SB,139
A328ST,139
A325SB,89
A325ST,89
A324SB,154
A324ST,154
A323SB,107
A323ST,107
A319SB,106
A319ST,106
A312SB,98
A312ST,98
A306SB,129
A306ST,129
A299SB,106
A299ST,106
A289SB,102
A289ST,102
A286SB,96
A286ST,96
A282SB,129
A282ST,129
A280SB,108
A280ST,108
A279SB,79
A279ST,79
A268SB,89
A268ST,89
A267SB,139
A267ST,139
A266SB,129
A266ST,129
A263SB,149
A263ST,149
A262SB,149
A262ST,149
A259SB,96
A259ST,96
A258SB,72
A258ST,72
A257SB,92
A257ST,92
A249SB,84
A249ST,84
A244SB,72
A244ST,72
A241SB,72
A241ST,72
A235SB,84
A235ST,84
A233SB,149
A233ST,149
A232SB,99
A232ST,99
A231SB,122
A231ST,122
A225SB,79
A225ST,79
D211ST,89
D211SB,89
D200ST,109
D200SB,109
D210SB,134
D210ST,134
D203ST,179
D203SB,179
Z260ST,69
Z260SB,69
Z265ST,118
Z265SB,118
Z277ST,112
Z277SB,112
Z287SB,209
Z287ST,209
Z295SB,229
Z295ST,229
Z276SB,139
Z276ST,139
Z238ST,108
Z238SB,108
Z240SB,169
Z240ST,169
Z297SB,213.5
Z297ST,213.5
Z298SB,108
Z298ST,108
D244ST,92
D244SB,92
D226SB,156
D226ST,156
D205ST,124
D205SB,124
A208SB,99
A208ST,99
A207SB,129
A207ST,129
Z310SB,79
Z310ST,79
Z273SB,129
Z273ST,129
Z271SB,116
Z271ST,116
Z210SB,92
Z210ST,92
Z209SB,155
Z209ST,155
Z252ST,106
Z252SB,106
Z217SB,136
Z217ST,136
Z221SB,126
Z221ST,126
Z232ST,92
Z232SB,92
Z253ST,169
Z253SB,169
Z212SB,109
Z212ST,109
Z233SB,104
Z233ST,104
Z262SB,79
Z262ST,79
Z223SB,106
Z223ST,106
D242SB,122
D242ST,122
Z207SB,82
Z207ST,82
Z205ST,92
Z205SB,92
Z201SB,96
Z201ST,96
D255SB,136
D255ST,136
D246ST,129
D246SB,129
D217SB,136
D217ST,136
Z243SB,98.5
Z243ST,98.5
Z214SB,79
Z214ST,79
D222ST,146
D222SB,146
D221ST,124
D221SB,124
D248ST,149
D248SB,149
P260ST,136
P260SB,136
D235ST,79
D235SB,79
D207ST,125
D207SB,125
D240SB,139
D240ST,139
D243SB,149
D243ST,149
D229ST,146
D229SB,146
Z317ST,136
Z317SB,136
D239SB,124
D239ST,124
J381ST,79
J381SB,79
D250SB,129
D250ST,129
G219SB,96
G219ST,96
D232ST,146
D232SB,146
A223SB,99
A223ST,99
A217SB,119
A217ST,119
2052ST,199
2052SB,199
D252SB,124
D252ST,124
D212SB,188.5
D212ST,188.5
2177ST,79
2177SB,79
G323SSB,99
G323SST,99
P260SST,127
P260SSB,127
2211ST,79
2211SB,79
2482SB,109
2482ST,109
2654ST,64
2654SB,64
2659ST,69
2659SB,69
2994ST,122
2994SB,122
A202ST,108
A202SB,108
D230SB,134
D230ST,134
D256ST,112
D256SB,112
2145ST,69
2145SB,69
D275SB,212
D275ST,212
D274SB,238
D274ST,238
D272SB,69
D272ST,69
D268SB,249
D268ST,249
D266SB,89
D266ST,89
D265SB,89
D265ST,89
D263SB,120
D263ST,120
D262SB,112
D262ST,112
D202SB,140
D202ST,140
D201SB,159
D201ST,159
J381SST,79
J381SSB,79
J369SST,72
J369SSB,72
J285SST,98
J285SSB,98
A202SST,108
A202SSB,108
A293SST,79
A293SSB,79
Z318SB,119
Z318ST,119
Z301SB,108
Z301ST,108
Z255SB,79
Z255ST,79
R295SB,129
R295ST,129
R260SB,129
R260ST,129
R201SB,79
R201ST,79
P275SB,79
P275ST,79
P262SB,99
P262ST,99
P261SB,112.5
P261ST,112.5
P254SB,69
P254ST,69
P242SB,92
P242ST,92
P200SB,79
P200ST,79
M299SB,89
M299ST,89
M291SB,79
M291ST,79
M287SB,98
M287ST,98
M279SB,109
M279ST,109
M270SB,89
M270ST,89
M255SB,84
M255ST,84
M207SB,117
M207ST,117
M205SB,109
M205ST,109
L284SB,129
L284ST,129
L275SB,72
L275ST,72
L270SB,139
L270ST,139
L261SB,109
L261ST,109
L258SB,99
L258ST,99
L257SB,109
L257ST,109
L255SB,99
L255ST,99
L253SB,98
L253ST,98
L227SB,139
L227ST,139
J370SB,72
J370ST,72
J368SB,72
J368ST,72
J300SB,84
J300ST,84
J293SB,99
J293ST,99
J290SB,102
J290ST,102
J285SB,98
J285ST,98
J226SB,189
J226ST,189
K282SB,69
K282ST,69
G323SB,109
G323ST,109
G311SB,72
G311ST,72
G309SB,104
G309ST,104
G304SB,96
G304ST,96
G302SB,89
G302ST,89
G300SB,99
G300ST,99
G265SB,139
G265ST,139
G264SB,139
G264ST,139
G255SB,109
G255ST,109
G250SB,139
G250ST,139
G248SB,86
G248ST,86
G238SB,146
G238ST,146
G218SB,89
G218ST,89
G214SB,139
G214ST,139
G208SB,139
G208ST,139
G207SB,139
G207ST,139
G205SB,129
G205ST,129
F275SB,99
F275ST,99
F272SB,84
F272ST,84
F271SB,99
F271ST,99
F268SB,92
F268ST,92
F259SB,69
F259ST,69
F206SB,119
F206ST,119
F205SB,82
F205ST,82
